DBN,School Name,year_start,scenario,yhat,yhat_lower,yhat_upper
02M111,P.S. 111 Adolph S. Ochs,2025,pessimistic,351.3,295.88814463549863,406.7118553645014
02M111,P.S. 111 Adolph S. Ochs,2026,pessimistic,352.6,284.73461432803447,420.4653856719656
02M111,P.S. 111 Adolph S. Ochs,2027,pessimistic,353.90000000000003,275.53580262726587,432.2641973727342
02M111,P.S. 111 Adolph S. Ochs,2025,base,350.0,294.5881446354986,405.4118553645014
02M111,P.S. 111 Adolph S. Ochs,2026,base,350.0,282.13461432803444,417.86538567196556
02M111,P.S. 111 Adolph S. Ochs,2027,base,350.0,271.63580262726583,428.36419737273417
02M111,P.S. 111 Adolph S. Ochs,2025,optimistic,343.04761904761904,287.63576368311766,398.4594744121204
02M111,P.S. 111 Adolph S. Ochs,2026,optimistic,336.09523809523813,268.2298524232726,403.9606237672037
02M111,P.S. 111 Adolph S. Ochs,2027,optimistic,329.14285714285717,250.778659770123,407.50705451559134
02M116,P.S. 116 Mary Lindley Murray,2013,actual,724.0,724.0,724.0
02M116,P.S. 116 Mary Lindley Murray,2014,actual,642.0,642.0,642.0
02M116,P.S. 116 Mary Lindley Murray,2015,actual,591.0,591.0,591.0
02M116,P.S. 116 Mary Lindley Murray,2016,actual,539.0,539.0,539.0
02M116,P.S. 116 Mary Lindley Murray,2017,actual,492.0,492.0,492.0
02M116,P.S. 116 Mary Lindley Murray,2018,actual,450.0,450.0,450.0
02M116,P.S. 116 Mary Lindley Murray,2019,actual,446.0,446.0,446.0
02M116,P.S. 116 Mary Lindley Murray,2020,actual,367.0,367.0,367.0
02M116,P.S. 116 Mary Lindley Murray,2021,actual,333.0,333.0,333.0
02M116,P.S. 116 Mary Lindley Murray,2022,actual,306.0,306.0,306.0
02M116,P.S. 116 Mary Lindley Murray,2023,actual,318.0,318.0,318.0
02M116,P.S. 116 Mary Lindley Murray,2024,actual,351.0,351.0,351.0
02M116,P.S. 116 Mary Lindley Murray,2025,pessimistic,346.3,297.29733796438495,395.30266203561507
02M116,P.S. 116 Mary Lindley Murray,2026,pessimistic,341.6000000000001,281.5842409873452,401.61575901265496
02M116,P.S. 116 Mary Lindley Murray,2027,pessimistic,336.9000000000001,267.5997707568481,406.2002292431521
02M116,P.S. 116 Mary Lindley Murray,2025,base,351.0,301.99733796438494,400.00266203561506
02M116,P.S. 116 Mary Lindley Murray,2026,base,351.0,290.9842409873451,411.0157590126549
02M116,P.S. 116 Mary Lindley Murray,2027,base,351.0,281.699770756848,420.300229243152
02M116,P.S. 116 Mary Lindley Murray,2025,optimistic,418.95238095238096,369.9497189167659,467.955042987996
02M116,P.S. 116 Mary Lindley Murray,2026,optimistic,486.9047619047619,426.88900289210704,546.9205209174168
02M116,P.S. 116 Mary Lindley Murray,2027,optimistic,554.8571428571429,485.5569136139909,624.1573721002949
02M124,P.S. 124 Yung Wing,2013,actual,830.0,830.0,830.0
02M124,P.S. 124 Yung Wing,2014,actual,792.0,792.0,792.0
02M124,P.S. 124 Yung Wing,2015,actual,739.0,739.0,739.0
02M124,P.S. 124 Yung Wing,2016,actual,714.0,714.0,714.0
02M124,P.S. 124 Yung Wing,2017,actual,668.0,668.0,668.0
02M124,P.S. 124 Yung Wing,2018,actual,616.0,616.0,616.0
02M124,P.S. 124 Yung Wing,2019,actual,611.0,611.0,611.0
02M124,P.S. 124 Yung Wing,2020,actual,589.0,589.0,589.0
02M124,P.S. 124 Yung Wing,2021,actual,532.0,532.0,532.0
02M124,P.S. 124 Yung Wing,2022,actual,480.0,480.0,480.0
02M124,P.S. 124 Yung Wing,2023,actual,463.0,463.0,463.0
02M124,P.S. 124 Yung Wing,2024,actual,429.0,429.0,429.0
02M124,P.S. 124 Yung Wing,2025,pessimistic,390.1,364.1906740866234,416.00932591337664
02M124,P.S. 124 Yung Wing,2026,pessimistic,351.20000000000005,319.46768596637884,382.93231403362125
