DBN,School Name,year_start,scenario,model,forecast,actual,error,abs_error,pct_error
02M116,P.S. 116 Mary Lindley Murray,2024,optimistic,Piecewise Linear,554.8571428571429,351.0,203.8571428571429,203.8571428571429,0.5807895807895809
02M116,P.S. 116 Mary Lindley Murray,2022,base,Prophet,282.7654661130595,306.0,-23.234533886940483,23.234533886940483,-0.07592984930372706
02M116,P.S. 116 Mary Lindley Murray,2023,base,Prophet,239.10607913626956,318.0,-78.89392086373044,78.89392086373044,-0.24809409076644792
02M116,P.S. 116 Mary Lindley Murray,2024,base,Prophet,195.32707740063918,351.0,-155.67292259936082,155.67292259936082,-0.443512599998179
02M124,P.S. 124 Yung Wing,2022,pessimistic,Piecewise Linear,474.99999999999994,480.0,-5.000000000000057,5.000000000000057,-0.010416666666666786
02M124,P.S. 124 Yung Wing,2023,pessimistic,Piecewise Linear,417.9999999999999,463.0,-45.000000000000114,45.000000000000114,-0.09719222462203048
02M124,P.S. 124 Yung Wing,2024,pessimistic,Piecewise Linear,360.9999999999999,429.0,-68.00000000000011,68.00000000000011,-0.15850815850815878
02M124,P.S. 124 Yung Wing,2022,base,Piecewise Linear,532.0,480.0,52.0,52.0,0.10833333333333334
02M124,P.S. 124 Yung Wing,2023,base,Piecewise Linear,532.0,463.0,69.0,69.0,0.1490280777537797
02M124,P.S. 124 Yung Wing,2024,base,Piecewise Linear,532.0,429.0,103.0,103.0,0.2400932400932401
02M124,P.S. 124 Yung Wing,2022,optimistic,Piecewise Linear,591.3333333333334,480.0,111.33333333333337,111.33333333333337,0.23194444444444454
02M124,P.S. 124 Yung Wing,2023,optimistic,Piecewise Linear,650.6666666666666,463.0,187.66666666666663,187.66666666666663,0.4053275737940964
02M124,P.S. 124 Yung Wing,2024,optimistic,Piecewise Linear,710.0,429.0,281.0,281.0,0.655011655011655
02M124,P.S. 124 Yung Wing,2022,base,Prophet,497.21280557991184,480.0,17.212805579911844,17.212805579911844,0.03586001162481634
02M124,P.S. 124 Yung Wing,2023,base,Prophet,461.3227439933961,463.0,-1.6772560066038977,1.6772560066038977,-0.00362258316761101
02M124,P.S. 124 Yung Wing,2024,base,Prophet,425.3343534710269,429.0,-3.6656465289731273,3.6656465289731273,-0.008544630603666963
02M130,P.S. 130 Hernando De Soto,2022,pessimistic,Piecewise Linear,518.0,575.0,-57.0,57.0,-0.09913043478260869
02M130,P.S. 130 Hernando De Soto,2023,pessimistic,Piecewise Linear,419.99999999999994,561.0,-141.00000000000006,141.00000000000006,-0.25133689839572204
02M130,P.S. 130 Hernando De Soto,2024,pessimistic,Piecewise Linear,321.9999999999999,512.0,-190.0000000000001,190.0000000000001,-0.3710937500000002
02M130,P.S. 130 Hernando De Soto,2022,base,Piecewise Linear,616.0,575.0,41.0,41.0,0.07130434782608695
02M130,P.S. 130 Hernando De Soto,2023,base,Piecewise Linear,616.0,561.0,55.0,55.0,0.09803921568627451
02M130,P.S. 130 Hernando De Soto,2024,base,Piecewise Linear,616.0,512.0,104.0,104.0,0.203125
02M130,P.S. 130 Hernando De Soto,2022,optimistic,Piecewise Linear,710.1428571428571,575.0,135.1428571428571,135.1428571428571,0.23503105590062107
02M130,P.S. 130 Hernando De Soto,2023,optimistic,Piecewise Linear,804.2857142857143,561.0,243.28571428571433,243.28571428571433,0.4336643748408455
02M130,P.S. 130 Hernando De Soto,2024,optimistic,Piecewise Linear,898.4285714285714,512.0,386.42857142857144,386.42857142857144,0.7547433035714286
02M130,P.S. 130 Hernando De Soto,2022,base,Prophet,516.5242953793738,575.0,-58.475704620626175,58.475704620626175,-0.101696877601089
