DBN,School Name,Year,ds,k5_enroll,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5
02M225,Ella Baker School,2021-22,2021-09-01,213,39,40,42,31,35,26
02M234,P.S. 234 Independence School,2017-18,2017-09-01,642,107,101,121,107,99,107
02M234,P.S. 234 Independence School,2018-19,2018-09-01,638,135,106,94,109,100,94
02M234,P.S. 234 Independence School,2019-20,2019-09-01,638,116,114,117,95,103,93
02M234,P.S. 234 Independence School,2020-21,2020-09-01,466,80,85,75,86,67,73
02M234,P.S. 234 Independence School,2021-22,2021-09-01,454,101,72,82,75,70,54
02M267,"East Side Elementary School, PS 267",2017-18,2017-09-01,398,93,78,71,52,54,50
02M267,"East Side Elementary School, PS 267",2018-19,2018-09-01,414,89,83,71,64,54,53
02M267,"East Side Elementary School, PS 267",2019-20,2019-09-01,438,86,83,86,71,63,49
02M267,"East Side Elementary School, PS 267",2020-21,2020-09-01,397,74,63,71,69,61,59
02M267,"East Side Elementary School, PS 267",2021-22,2021-09-01,387,88,69,52,70,53,55
02M281,The River School,2017-18,2017-09-01,236,85,54,38,27,32,0
02M281,The River School,2018-19,2018-09-01,302,74,77,51,40,28,32
02M281,The River School,2019-20,2019-09-01,350,96,62,68,48,44,32
02M281,The River School,2020-21,2020-09-01,388,87,83,60,61,56,41
02M281,The River School,2021-22,2021-09-01,388,83,77,61,57,58,52
02M290,P.S. 290 Manhattan New School,2017-18,2017-09-01,591,114,96,105,94,96,86
02M290,P.S. 290 Manhattan New School,2018-19,2018-09-01,558,98,102,79,98,88,93
02M290,P.S. 290 Manhattan New School,2019-20,2019-09-01,519,83,92,94,77,91,82
02M290,P.S. 290 Manhattan New School,2020-21,2020-09-01,409,70,57,72,74,61,75
02M290,P.S. 290 Manhattan New School,2021-22,2021-09-01,353,69,57,45,57,69,56
02M340,Sixth Avenue Elementary School,2017-18,2017-09-01,206,67,63,41,35,0,0
02M340,Sixth Avenue Elementary School,2018-19,2018-09-01,267,75,56,60,41,35,0
02M340,Sixth Avenue Elementary School,2019-20,2019-09-01,328,69,68,55,59,42,35
02M340,Sixth Avenue Elementary School,2020-21,2020-09-01,300,58,49,62,47,45,39
02M340,Sixth Avenue Elementary School,2021-22,2021-09-01,270,50,48,39,52,41,40
02M343,The Peck Slip School,2017-18,2017-09-01,406,97,85,70,61,51,42
02M343,The Peck Slip School,2018-19,2018-09-01,432,100,82,72,68,59,51
02M343,The Peck Slip School,2019-20,2019-09-01,423,87,74,75,67,62,58
02M343,The Peck Slip School,2020-21,2020-09-01,369,62,60,57,64,66,60
02M343,The Peck Slip School,2021-22,2021-09-01,329,68,46,60,42,55,58
02M527,P.S. 527 - East Side School for Social Action,2017-18,2017-09-01,387,90,70,69,56,49,53
02M527,P.S. 527 - East Side School for Social Action,2018-19,2018-09-01,431,82,96,74,69,56,54
02M527,P.S. 527 - East Side School for Social Action,2019-20,2019-09-01,480,99,81,89,78,73,60
02M527,P.S. 527 - East Side School for Social Action,2020-21,2020-09-01,458,83,83,75,81,70,66
02M527,P.S. 527 - East Side School for Social Action,2021-22,2021-09-01,436,62,84,75,76,71,68
